hanzi,tian_level,hsk_level,pinyin,primary_reading,simple_meaning,meaning,meaning_mnemonic,reading_mnemonic,components,in_names
一,1,1,yī,yī,,,,,一,false
三,1,1,sān,sān,,,,,一 二,true
个,1,1,gè,gè,,,,,人 丨,false
中,1,1,zhōng;zhòng,zhōng,,,,,口 丨,true
二,1,1,èr,èr,,,,,二,false
人,1,1,rén,rén,,,,,人,false
口,1,1,kǒu,kǒu,,,,,口,false
日,1,1,rì,rì,,,,,日,true
昨,1,1,zuó,zuó,,,,,日 丿 一 丨 二,false
介,1,2,jiè,jiè,,,,,人,false
夫,1,2,fū;fú,fū,,,,,人 二,false
合,1,3,gě;hé,gě,,,,,人 一 口,false
旧,1,3,jiù,jiù,,,,,丨 日,false
书,2,1,shū,shū,,,,,丨 丶,true
什,2,1,shén;shí,shén,,,,,亻 十,false
休,2,1,xiū,xiū,,,,,亻 木,true
作,2,1,zuō;zuò,zuō,,,,,亻 丿 一 丨 二,false
八,2,1,bā,bā,,,,,八,false
十,2,1,shí,shí,,,,,十,false
只,2,1,zhǐ;zhī,zhǐ,,,,,口 八,false
早,2,1,zǎo,zǎo,,,,,日 十,false
本,2,1,běn,běn,,,,,木 一,false
但,2,2,dàn,dàn,,,,,亻 日 一,false
体,2,2,tǐ,tǐ,,,,,亻 木 一,false
春,2,3,chūn,chūn,,,,,一 二 丨 八 日,true
末,2,3,mò,mò,,,,,木 一,false
束,2,3,shù,shù,,,,,木 口,true
查,2,3,chá;zhā,chá,,,,,木 日 一,true
七,3,1,qī,qī,,,,,乚 一,false
以,3,1,yǐ,yǐ,,,,,乚 丶 人,true
六,3,1,liù,liù,,,,,亠 八,false
半,3,1,bàn,bàn,,,,,二 丨 丷,false
吧,3,1,bā;ba;biā,bā,,,,,口 丨 乚,false
明,3,1,míng,míng,,,,,日 月,true
月,3,1,yuè,yuè,,,,,月,false
来,3,1,lái,lái,,,,,木 一 丷,false
电,3,1,diàn,diàn,,,,,日 丨 乚,false
认,3,1,rèn,rèn,,,,,讠 人,false
识,3,1,shí;zhì,shí,,,,,讠 口 八,false
且,3,3,qiě,qiě,,,,,月 一,false
业,3,3,yè,yè,,,,,丷 一,true
伞,3,3,sǎn,sǎn,,,,,人 十 丷,false
又,3,3,yòu,yòu,,,,,又,false
胖,3,3,pán;pàng,pán,,,,,月 二 丨 丷,false
讲,3,3,jiǎng,jiǎng,,,,,讠 二,false
东,5,1,dōng,dōng,,,,,乚 一 小,true
也,5,1,yě,yě,,,,,乚 ㇆ 丨,true
习,5,1,xí,xí,,,,,㇆ 亠,true
他,5,1,tā,tā,,,,,亻 乚 ㇆ 丨,false
司,5,1,sī,sī,,,,,㇆ 一 口,true
女,5,1,nǚ;rǔ,nǚ,,,,,女,false
她,5,1,tā,tā,,,,,女 乚 ㇆ 丨,false
妹,5,1,mèi,mèi,,,,,女 木 一,false
姐,5,1,jiě,jiě,,,,,女 月 一,false
小,5,1,xiǎo,xiǎo,,,,,小,false
少,5,1,shǎo;shào,shǎo,,,,,小 丿,false
万,5,2,wàn,wàn,,,,,一 丿 ㇆,true
词,5,2,cí,cí,,,,,讠 ㇆ 一 口,false
卫,5,3,wèi,wèi,,,,,㇆ 丨 一,true
如,5,3,rú,rú,,,,,女 口,false
儿,6,1,rén;ér;r,rén,,,,,儿,false
元,6,1,yuán,yuán,,,,,二 儿,true
关,6,1,guān,guān,,,,,丷 一 大,true
千,6,1,qiān,qiān,,,,,㇒ 十,false
大,6,1,dà;dài,dà,,,,,大,false
天,6,1,tiān,tiān,,,,,一 大,false
太,6,1,tài,tài,,,,,大 丶,false
宜,6,1,yí,yí,,,,,宀 月 一,true
说,6,1,shuì;shuō,shuì,,,,,讠 丷 口 儿,false
完,6,2,wán,wán,,,,,宀 二 儿,false
向,6,3,xiàng,xiàng,,,,,宀 口,true
响,6,3,xiǎng,xiǎng,,,,,口 宀,false
安,6,3,ān,ān,,,,,宀 女,true
害,6,3,hài,hài,,,,,宀 一 二 丨 口,false
喂,7,1,wéi;wèi,wéi,,,,,口 田 一 乚,false
块,7,1,kuài,kuài,,,,,土 丨 人,false
果,7,1,guǒ,guǒ,,,,,田 木,false
茶,7,1,chá,chá,,,,,艹 人 十 小,false
课,7,1,kè,kè,,,,,讠 田 木,false
周,7,2,zhōu,zhōu,,,,,田 口,true
地,7,2,de;dì,de,,,,,土 乚 ㇆ 丨,false
借,7,3,jiè,jiè,,,,,亻 艹 一 日,false
共,7,3,gòng,gòng,,,,,艹 一 八,false
坚,7,3,jiān,jiān,,,,,丨 又 土,false
界,7,3,jiè,jiè,,,,,田 人,false
节,7,3,jiē;jié,jiē,,,,,艹 ㇆ 丨,false
草,7,3,cǎo;cào,cǎo,,,,,艹 日 十,false
调,7,3,diào;tiáo,diào,,,,,讠 田 口,false
么,9,1,má;ma;me;mó,má,,,,,丿 厶,false
会,9,1,huì;kuài,huì,,,,,人 二 厶,false
公,9,1,gōng,gōng,,,,,八 厶,false
去,9,1,qù,qù,,,,,土 厶,false
可,9,1,kě;kè,kě,,,,,一 亅 口,false
椅,9,1,yǐ,yǐ,,,,,木 大 一 亅 口,false
能,9,1,néng,néng,,,,,厶 月,true
始,9,2,shǐ,shǐ,,,,,女 厶 口,false
运,9,2,yùn,yùn,,,,,辶 二 厶,false
进,9,2,jìn,jìn,,,,,辶 二,false
远,9,2,yuǎn;yuàn,yuǎn,,,,,辶 二 儿,false
送,9,2,sòng,sòng,,,,,辶 丷 一 大,false
变,9,3,biàn,biàn,,,,,亠 丨 亅 八 又,false
奇,9,3,jī;qí,jī,,,,,大 一 亅 口,false
育,9,3,yù,yù,,,,,亠 厶 月,false
五,10,1,wǔ,wǔ,,,,,一 力,false
汉,10,1,hàn,hàn,,,,,氵 又,true
男,10,1,nán,nán,,,,,田 力,false
语,10,1,yǔ;yù,yǔ,,,,,讠 一 力 口,false
边,10,1,biān;bian,biān,,,,,辶 力,false
动,10,2,dòng,dòng,,,,,二 厶 力,false
咖,10,2,kā,kā,,,,,口 力,false
力,10,3,lì,lì,,,,,力,true
办,10,3,bàn,bàn,,,,,力 八,false
加,10,3,jiā,jiā,,,,,力 口,true
助,10,3,zhù,zhù,,,,,月 一 力,false
努,10,3,nǔ,nǔ,,,,,女 又 力,false
沙,10,3,shā,shā,,,,,氵 小 丿,true
河,10,3,hé,hé,,,,,氵 一 亅 口,false
法,10,3,fǎ,fǎ,,,,,氵 土 厶,true
再,11,1,zài,zài,,,,,一 冂 土,false
写,11,1,xiě,xiě,,,,,冖 一,false
同,11,1,tóng;tòng,tóng,,,,,冂 一 口,false
商,11,1,shāng,shāng,,,,,亠 丷 冂 八 口,true
怎,11,1,zěn,zěn,,,,,丿 一 丨 二 心,false
思,11,2,sī,sī,,,,,田 心,false
勺,11,3,sháo,sháo,,,,,勹 丶,false
单,11,3,dān,dān,,,,,丷 冂 二 丨 十,true
句,11,3,gōu;jù,gōu,,,,,勹 口,false
啤,11,3,pí,pí,,,,,口 冂 二 丨 丶 十,false
心,11,3,xīn,xīn,,,,,心,false
必,11,3,bì,bì,,,,,心 丿,false
总,11,3,zǒng,zǒng,,,,,丷 口 心,false
易,11,3,yì,yì,,,,,日 勹,true
哪,13,1,nǎ;na;něi,nǎ,,,,,口 ㇆ 二 丨 阝,false
想,13,1,xiǎng,xiǎng,,,,,木 目 心,false
真,13,1,zhēn,zhēn,,,,,十 目 一 八,false
那,13,1,nǎ;nà,nǎ,,,,,㇆ 二 丨 阝,true
院,13,1,yuàn,yuàn,,,,,阝 宀 二 儿,false
啊,13,2,ā;á;ǎ;à;a,ā,,,,,口 阝 一 亅,false
阴,13,2,yīn,yīn,,,,,阝 月,true
冒,13,3,mào,mào,,,,,冂 二 目,true
目,13,3,mù,mù,,,,,目,false
直,13,3,zhí,zhí,,,,,十 目 一,true
相,13,3,xiāng;xiàng,xiāng,,,,,木 目,true
阳,13,3,yáng,yáng,,,,,阝 日,false
阿,13,3,ā;ē,ā,,,,,阝 一 亅 口,true
便,14,1,biàn;pián,biàn,,,,,亻 一 日 丨 乂,false
友,14,1,yǒu,yǒu,,,,,𠂇 又,false
在,14,1,zài,zài,,,,,𠂇 亻 土,false
好,14,1,hǎo;hào,hǎo,,,,,女 子,false
子,14,1,zǐ;zi,zǐ,,,,,子,false
字,14,1,zì,zì,,,,,宀 子,false
有,14,1,yǒu,yǒu,,,,,𠂇 月,false
校,14,1,jiào;xiào,jiào,,,,,木 亠 八 乂,false
丈,14,2,zhàng,zhàng,,,,,十 乂,false
交,14,2,jiāo,jiāo,,,,,亠 八 乂,false
右,14,2,yòu,yòu,,,,,𠂇 口,false
乎,14,3,hū,hū,,,,,㇒ 𠂇 丷,false
史,14,3,shǐ,shǐ,,,,,口 丨 乂,true
才,14,3,cái,cái,,,,,𠂇 ㇒,false
更,14,3,gēng;gèng,gēng,,,,,一 日 丨 乂,false
李,14,3,lǐ,lǐ,,,,,木 子,true
议,14,3,yì,yì,,,,,讠 乂 丶,false
下,16,1,xià,xià,,,,,一 卜,false
不,16,1,bù,bù,,,,,一 丿 卜,false
对,16,1,duì,duì,,,,,又 寸,false
打,16,1,dá;dǎ,dá,,,,,扌 一 亅,false
时,16,1,shí,shí,,,,,日 寸,true
杯,16,1,bēi,bēi,,,,,木 一 丿 卜,false
还,16,1,hái;huán,hái,,,,,辶 一 丿 卜,true
坏,16,2,huài,huài,,,,,土 一 丿 卜,false
过,16,2,guò;guo,guò,,,,,辶 寸,true
把,16,3,bǎ;bà,bǎ,,,,,扌 丨 乚,false
担,16,3,dān;dàn,dān,,,,,扌 日 一,false
择,16,3,zé,zé,,,,,扌 又 二 丨,false
持,16,3,chí,chí,,,,,扌 土 寸,false
树,16,3,shù,shù,,,,,木 又 寸,false
附,16,3,fù,fù,,,,,阝 亻 寸,false
住,17,1,zhù,zhù,,,,,亻 王 丶,false
客,17,1,kè,kè,,,,,宀 夂 口,false
条,17,1,tiáo,tiáo,,,,,夂 十 小,false
玩,17,1,wán,wán,,,,,王 二 儿,false
为,17,2,wéi;wèi,wéi,,,,,力 ⺀,false
备,17,2,bèi,bèi,,,,,夂 田,false
头,17,2,tóu;tou,tóu,,,,,大 ⺀,false
主,17,3,zhǔ,zhǔ,,,,,王 丶,false
全,17,3,quán,quán,,,,,人 王,true
冬,17,3,dōng,dōng,,,,,夂 ⺀,true
务,17,3,wù,wù,,,,,夂 力,false
处,17,3,chǔ;chù,chǔ,,,,,夂 卜,false
复,17,3,fù,fù,,,,,丿 一 日 夂,false
实,17,3,shí,shí,,,,,宀 大 ⺀,false
注,17,3,zhù,zhù,,,,,氵 王 丶,false
环,17,3,huán,huán,,,,,王 一 丿 卜,true
上,18,1,shǎng;shàng,shǎng,,,,,⺊ 一,false
市,18,1,shì,shì,,,,,亠 巾,false
师,18,1,shī,shī,,,,,一 巾,true
桌,18,1,zhuō,zhuō,,,,,⺊ 日 木,false
给,18,1,gěi;jǐ,gěi,,,,,纟 人 一 口,false
希,18,2,xī,xī,,,,,乂 𠂇 巾,false
帮,18,2,bāng,bāng,,,,,一 二 丨 阝 巾,false
药,18,2,yào,yào,,,,,艹 纟 勹 丶,false
让,18,2,ràng,ràng,,,,,讠 ⺊ 一,false
卡,18,3,kǎ;qiǎ,kǎ,,,,,⺊ 一 卜,false
叔,18,3,shū,shū,,,,,⺊ 一 小 又,false
练,18,3,liàn,liàn,,,,,纟 乚 一 ㇆ 八,false
终,18,3,zhōng,zhōng,,,,,纟 夂 ⺀,false
你,20,1,nǐ,nǐ,,,,,亻 ⺈ 小,false
它,20,1,tā,tā,,,,,宀 匕,false
年,20,1,nián,nián,,,,,丿 一 十 ㇗ 丨,true
您,20,1,nín,nín,,,,,亻 ⺈ 小 心,false
