radical,tian_level,radical_name,hsk1_occurance,hsk2_occurance,hsk3_occurance,productivity score
一,1,one,51,17,48,354
口,1,mouth,41,17,35,291
丨,1,line,27,5,35,185
日,1,sun/day,16,5,15,110
二,1,two,13,8,18,107
人,1,human,14,6,14,102
丿,1,bend,14,7,10,101
木,1,tree,15,2,15,96
丶,1,dot,11,9,10,92
十,1,ten,14,3,11,90
亻,1,human,13,4,7,84
八,1,eight/divide,11,1,15,73
月,1,moon,11,3,9,73
讠,1,speech,10,5,4,69
乚,1,second,11,1,9,67
亠,1,lid,9,4,7,64
又,1,right hand,8,2,17,63
丷,1,eight/divide,9,2,11,62
女,1,woman,8,4,8,60
小,1,small,9,3,5,59
㇆,1,,7,5,8,58
大,1,big,8,4,6,58
㇒,1,,6,5,7,52
儿,1,legs,7,4,4,51
宀,1,roof,6,3,11,50
艹,1,grass,5,4,11,48
土,1,earth,5,4,10,47
田,1,field,5,6,2,45
辶,1,walk,4,6,7,45
厶,1,private,5,3,8,42
亅,1,hook,5,2,9,40
氵,1,water,3,4,13,40
力,1,power/force,4,4,7,39
勹,1,wrap,4,3,8,37
冖,1,cover,6,1,3,36
心,1,heart,4,3,7,36
冂,1,upside down box,5,0,10,35
目,1,eye,4,3,6,35
阝,1,town,4,3,6,35
𠂇,1,,4,4,3,35
乂,1,,3,4,7,34
子,1,child,5,2,2,33
寸,1,thumb,4,2,6,32
卜,1,divination,5,1,3,31
扌,1,hand,3,0,14,29
王,1,jade,3,3,5,29
⺀,1,ice,3,3,4,28
夂,1,go,2,3,8,27
⺊,1,divination,3,3,2,26
纟,1,silk,1,5,6,26
巾,1,turban/scarf,3,2,2,23
⺮,1,bamboo,1,4,5,22
忄,1,heart,1,4,4,21
⺈,1,knife,3,0,5,20
㇗,1,,2,2,4,20
匕,1,spoon,3,1,2,20
工,1,work,1,4,3,20
斤,1,axe,2,3,1,20
白,1,white,3,0,5,20
见,1,see,4,0,0,20
门,1,gate,3,1,2,20
冫,1,ice,1,3,5,19
士,1,scholar,3,0,4,19
钅,1,metal/gold,2,2,3,19
⺍,1,small,3,0,3,18
㇖,1,,3,1,0,18
几,1,table,3,0,3,18
干,1,dry,2,1,5,18
龴,1,,2,2,2,18
刂,1,knife,2,1,4,17
戈,1,spear,2,0,7,17
方,1,square/raft,1,3,3,17
灬,1,fire,2,1,4,17
矢,1,arrow,3,0,2,17
刀,1,knife,2,1,3,16
囗,1,enclosure,2,1,3,16
夕,1,evening/unset,3,0,1,16
广,1,house on cliff,1,2,5,16
雨,1,rain,3,0,1,16
青,1,green/blue,1,3,2,16
⻊,2,foot,0,5,0,15
从,1,,2,1,2,15
凵,1,container,1,2,4,15
立,1,stand erect,1,3,1,15
走,1,run,2,1,2,15
手,1,hand,2,1,1,14
欠,1,yawn,2,1,1,14
止,1,stop,2,1,1,14
